what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378719874165
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1378719898711
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1378719905383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1378719907836
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1378719910946
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1378719931898
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1378719989522
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378719989537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378719990381
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1378719990600
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378719993615
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720061113
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720064644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1378720065972
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1378720073175
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1378720073363
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720074972
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1378720077972
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1378720080144
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1378720080331
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720083097
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1378720119517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378720126689
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378720129298
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378720132829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378720134142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378720139345
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378720142189
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720142267
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720142298
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1378720147517
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1378720149173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1378720153360
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1378720159172
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1378720165344
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1378720165938
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720171203
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720176047
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720178516
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720182375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378720188500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378720188609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1378720194718
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1378720270497
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378720276965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378720315636
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720327589
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720327604
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720327620
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720327636
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378720327651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.closeAll",1378720327651
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378720331073
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.exit",1378720331386
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1378720331495
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1378720331495
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1378720331495
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1378720331495
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1378720331495
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1378720331495
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1378720331495
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1378720331495
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1378720331495
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1378720331495
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1378720331495
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1378720331495
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1378720331495
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1378720331495
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1378720331495
stopped,bundle,org.eclipse.wb.rcp.GroupLayout,1.5.0.r36x201206111330,"org.eclipse.wb.rcp.GroupLayout",1378720331495
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.5.0.r36x201206111333,"org.eclipse.wb.rcp.SWT_AWT",1378720331495
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.5.0.r36x201206111317,"org.eclipse.wb.rcp.databinding.emf",1378720331495
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.5.0.r36x201206111323,"org.eclipse.wb.rcp.databinding.xwt",1378720331495
stopped,bundle,org.eclipse.wb.rcp.databinding,1.5.0.r36x201206111317,"org.eclipse.wb.rcp.databinding",1378720331495
stopped,bundle,org.eclipse.wb.rcp.nebula,1.5.0.r36x201206111317,"org.eclipse.wb.rcp.nebula",1378720331495
stopped,bundle,org.eclipse.wb.rcp.swing2swt,1.5.0.r36x201206111317,"org.eclipse.wb.rcp.swing2swt",1378720331495
stopped,bundle,org.eclipse.wb.xwt,1.5.0.r36x201206111323,"org.eclipse.wb.xwt",1378720331495
stopped,bundle,org.eclipse.wb.rcp,1.5.0.r36x201206111317,"org.eclipse.wb.rcp",1378720331495
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1378720331511
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1378720331511
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1378720331511
